stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,key_resp.started,grating.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0.5,2.0,40.513561100000516,,40.49984420003602,40.513561100000516,40.563594300008845,41.01398330001393,41.01398330001393,41.313710600021295,41.49870340002235,left,-2.0,1,1,0.9328297999454662,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
40,0.5,2.0,41.513365900027566,,41.49881100002676,41.513365900027566,41.56240019999677,42.01467549998779,42.01467549998779,42.31415089999791,42.34890780004207,left,-2.0,1,1,0.7733279999811202,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
41,0.5,2.0,42.36323369998718,,42.34902389999479,42.36323369998718,42.41336740000406,42.86410070001148,42.86410070001148,43.16398340003798,43.18513100000564,right,2.0,0,0,0.7682419000193477,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
42,0.5,2.5,43.196943300019484,,43.185290099994745,43.196943300019484,43.2469786000438,43.696600800030865,43.696600800030865,43.99727230001008,44.08187640004326,right,2.5,0,0,0.8275549000245519,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
43,0.5,3.0,44.097016000014264,,44.08199820003938,44.097016000014264,44.14743150002323,44.58040740003344,44.59680739999749,44.87921959999949,45.03190140001243,right,3.0,1,1,0.8754012999706902,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
44,0.5,3.0,45.04675330000464,,45.03201429999899,45.04675330000464,45.097218100039754,45.54702190001262,45.54702190001262,45.846810000017285,45.94915340002626,right,3.0,1,1,0.8390164999873377,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
45,0.5,3.0,45.963383800000884,,45.9492661000113,45.963383800000884,45.99790449999273,46.464669700013474,46.464669700013474,46.76432860002387,46.83237340004416,right,3.0,1,1,0.8198424999718554,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
46,0.5,2.5,46.846207300026435,,46.83249340002658,46.846207300026435,46.897657299996354,47.3471669999999,47.3471669999999,47.64712179999333,47.75000480003655,right,2.5,1,1,0.8496727999881841,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
47,0.5,2.5,47.76342939998722,,47.750121899996884,47.76342939998722,47.81332260003546,48.26365869998699,48.26365869998699,48.56371700001182,48.64947130001383,left,-2.5,1,1,0.8350731999962591,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
48,0.5,2.5,48.66348740004469,,48.649591199995484,48.66348740004469,48.71390530001372,49.16489990003174,49.16489990003174,49.48041880002711,49.65041750000091,left,-2.5,1,1,0.9326817999826744,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
49,0.5,2.0,49.66291230003117,,49.650651700038,49.66291230003117,49.71363080001902,50.16532480000751,50.16532480000751,50.46361800003797,50.79862180002965,left,-2.0,1,1,1.0707878000102937,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
