letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,thanks_2.stopped,end.keys,end.rt,end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
W,19,19,0,None,,,0,19,19,19,46.005237199831754,,,,,,,,,45.99226909992285,46.005237199831754,46.20526239997707,46.20526239997707,46.20526239997707,46.90538299991749,47.7055124999024,47.689295899821445,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
W,20,20,0,space,0.5793353000190109,0.18682290008291602,0,20,20,20,47.7055124999024,,,,,,,,,47.68958309991285,47.7055124999024,47.905279899947345,47.905279899947345,47.905279899947345,48.60514299990609,49.40453519998118,49.38888389989734,space,0.5793353000190109,0.18682290008291602,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
X,21,21,0,None,,,0,21,21,21,49.40453519998118,,,,,,,,,49.39444069983438,49.40453519998118,49.6051588000264,49.6051588000264,49.6051588000264,50.30543649988249,51.10496629984118,51.088868599850684,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Z,22,22,0,None,,,0,22,22,22,51.10496629984118,,,,,,,,,51.09519260004163,51.10496629984118,51.305226400028914,51.305226400028914,51.305226400028914,52.004664799897,52.80541669996455,52.78923369990662,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
A,23,23,0,None,,,0,23,23,23,52.80541669996455,,,,,,,,,52.792009899858385,52.80541669996455,53.005022099940106,53.005022099940106,53.005022099940106,53.70510489982553,54.50503909983672,54.48902859981172,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
A,24,24,0,space,0.4398155000526458,0.18233119999058545,0,24,24,24,54.50503909983672,,,,,,,,,54.48938169982284,54.50503909983672,54.70504150004126,54.70504150004126,54.70504150004126,55.404660400003195,56.20500639989041,56.18988379999064,space,0.4398155000526458,0.18233119999058545,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
C,25,25,0,None,,,0,25,25,25,56.20500639989041,,,,,,,,,56.19359859987162,56.20500639989041,56.40491319983266,56.40491319983266,56.40491319983266,57.10474599990994,57.90456769987941,57.889644499868155,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
D,26,26,0,None,,,0,26,26,26,57.90456769987941,,,,,,,,,57.892443699995056,57.90456769987941,58.1052637998946,58.1052637998946,58.1052637998946,58.804993900004774,59.60503520001657,59.588967399904504,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
E,27,27,0,None,,,0,27,27,27,59.60503520001657,,,,,,,,,59.59212849987671,59.60503520001657,59.8050685999915,59.8050685999915,59.8050685999915,60.505165399983525,61.3050708998926,61.288736399961635,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
F,28,28,0,None,,,0,28,28,28,61.3050708998926,,,,,,,,,61.29219969990663,61.3050708998926,61.50486769992858,61.50486769992858,61.50486769992858,62.20512039982714,63.00432670000009,62.987932599848136,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
