reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
80,94,42,18,18,0,t,2.126463300024625,0.15828159998636693,0,18,18,97,60.862518800015096,,60.84990899998229,60.862518800015096,61.84584329999052,61.84584329999052,61.862497100024484,64.13204310002038,t,2.126463300024625,0.15828159998636693,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
50,55,8,19,19,0,l,1.579084899974987,0.22490919998381287,0,19,19,87,64.14579969999613,,64.13942050002515,64.14579969999613,65.14619320002384,65.14619320002384,65.14619320002384,66.96259840001585,l,1.579084899974987,0.22490919998381287,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
7,17,59,20,20,0,t,2.6330674999626353,0.16147620003903285,0,20,20,92,66.97892139997566,,66.96552389999852,66.97892139997566,67.96258799999487,67.96258799999487,67.9793869999703,70.7627797999885,t,2.6330674999626353,0.16147620003903285,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
54,65,58,21,21,0,t,2.357615099987015,0.20818950003013015,0,21,21,10,70.77866700000595,,70.76846019999357,70.77866700000595,71.7624626000179,71.7624626000179,71.77896229998441,74.3298726999783,t,2.357615099987015,0.20818950003013015,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
96,98,57,22,22,0,t,4.288730000029318,0.1974149000016041,0,22,22,40,74.34588099998655,,74.33445959998062,74.34588099998655,75.32904639997287,75.32904639997287,75.3457396000158,79.82984329998726,t,4.288730000029318,0.1974149000016041,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
88,99,172,23,23,0,t,3.781463099992834,0.19184250000398606,0,23,23,26,79.8455717000179,,79.83675189997302,79.8455717000179,80.845484999998,80.845484999998,80.845484999998,84.82977609999944,t,3.781463099992834,0.19184250000398606,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
76,96,132,24,24,0,t,1.6717086000135168,0.1516371999750845,0,24,24,27,84.84540140000172,,84.83530340000289,84.84540140000172,85.84556089999387,85.84556089999387,85.84556089999387,87.68004150001798,t,1.6717086000135168,0.1516371999750845,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
40,61,43,25,25,0,t,2.2677120000007562,0.19281139998929575,0,25,25,96,87.6950776000158,,87.68686399998842,87.6950776000158,88.67884449998382,88.67884449998382,88.696531100024,91.14625769999111,t,2.2677120000007562,0.19281139998929575,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
99,100,98,26,26,0,t,2.7613347999867983,0.1726935000042431,0,26,26,15,91.16205490002176,,91.15212759998394,91.16205490002176,92.14526419999311,92.14526419999311,92.16236979997484,95.08100910001667,t,2.7613347999867983,0.1726935000042431,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
92,93,80,27,27,0,t,1.0971779000246897,0.1189066999941133,0,27,27,5,95.09535249997862,,95.0882870000205,95.09535249997862,96.09558040002594,96.09558040002594,96.09558040002594,97.31337180000264,t,1.0971779000246897,0.1189066999941133,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
17,79,11,28,28,0,l,1.2695384999969974,0.16888439998729154,0,28,28,88,97.32830489997286,,97.31840170000214,97.32830489997286,98.32882559997961,98.32882559997961,98.32882559997961,99.77964530000463,l,1.2695384999969974,0.16888439998729154,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
39,47,4,29,29,0,l,1.7025004000170156,0.21740500000305474,0,29,29,12,99.79535149998264,,99.78577419999056,99.79535149998264,100.79518750001444,100.79518750001444,100.79518750001444,102.72845459997188,l,1.7025004000170156,0.21740500000305474,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
21,27,26,30,30,0,l,1.207035600033123,0.2202516999677755,0,30,30,7,102.74496709997766,,102.73211919999449,102.74496709997766,103.7284913000185,103.7284913000185,103.74502700002631,105.16267440002412,l,1.207035600033123,0.2202516999677755,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
44,93,94,31,31,0,t,1.2741768999840133,0.16178109997417778,0,31,31,73,105.17825150000863,,105.169817099988,105.17825150000863,106.16183810000075,106.16183810000075,106.17862299998524,107.61199619999388,t,1.2741768999840133,0.16178109997417778,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
58,66,64,32,32,0,t,1.11566320003476,0.16206770000280812,0,32,32,9,107.62844180001412,,107.6177571999724,107.62844180001412,108.61160319996998,108.61160319996998,108.62827869999455,109.89620179997291,t,1.11566320003476,0.16206770000280812,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
20,47,17,33,33,0,l,0.8935507999849506,0.2164914000313729,0,33,33,0,109.91158449999057,,109.90298299997812,109.91158449999057,110.91113650001353,110.91113650001353,110.91113650001353,112.02872699999716,l,0.8935507999849506,0.2164914000313729,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
95,97,89,34,34,0,t,0.6466887000133283,0.17267420003190637,0,34,34,76,112.04461939999601,,112.03314580000006,112.04461939999601,113.02802480000537,113.02802480000537,113.04510990000563,113.8617513999925,t,0.6466887000133283,0.17267420003190637,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
67,69,81,35,35,0,t,1.016200200014282,0.16314499999862164,0,35,35,42,113.87767710001208,,113.86661779996939,113.87767710001208,114.86281219997909,114.86281219997909,114.87769839999964,116.04536749998806,t,1.016200200014282,0.16314499999862164,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
25,75,65,36,36,0,l,1.0335387999657542,0.2039333000429906,0,36,36,70,116.06168540002545,,116.05094159999862,116.06168540002545,117.06110709998757,117.06110709998757,117.06110709998757,118.31257369997911,l,1.0335387999657542,0.2039333000429906,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
74,94,21,37,37,0,l,1.4975035000243224,0.23277050000615418,0,37,37,48,118.32817360002082,,118.31864810001571,118.32817360002082,119.31143880001036,119.31143880001036,119.32818100001896,121.04452280001715,l,1.4975035000243224,0.23277050000615418,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
45,49,38,38,38,0,t,0.9265942000201903,0.14190539997071028,0,38,38,39,121.06100270000752,,121.0473120000097,121.06100270000752,122.0443928000168,122.0443928000168,122.06121449999046,123.12806449999334,t,0.9265942000201903,0.14190539997071028,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
5,9,23,39,39,0,l,0.949489300022833,0.21783249999862164,0,39,39,11,123.14445079996949,,123.13263730000472,123.14445079996949,124.12749220000114,124.12749220000114,124.14414920000127,125.31120509997709,l,0.949489300022833,0.21783249999862164,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
6,56,100,40,40,0,l,1.4617075000423938,0.222851799975615,0,40,40,31,125.3272654999746,,125.31552020000527,125.3272654999746,126.31082090002019,126.31082090002019,126.32740999996895,128.01125839998713,l,1.4617075000423938,0.222851799975615,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
40,77,158,41,41,0,t,1.3721713999984786,0.12628219998441637,0,41,41,89,128.02726659999462,,128.0153413999942,128.02726659999462,129.0107480000006,129.0107480000006,129.02762960002292,130.5116882000002,t,1.3721713999984786,0.12628219998441637,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
95,99,33,42,42,0,t,1.366906300012488,0.10180000000400469,0,42,42,13,130.52755749999778,,130.51632940000854,130.52755749999778,131.51116850000108,131.51116850000108,131.5280606999877,132.98176380002405,t,1.366906300012488,0.10180000000400469,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
32,66,180,43,43,0,t,1.8334969999850728,0.16785889997845516,0,43,43,84,132.99498879996827,,132.98674670001492,132.99498879996827,133.99451980000595,133.99451980000595,133.99451980000595,136.01189670001622,t,1.8334969999850728,0.16785889997845516,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
