thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
120,0,120,[np.float64(-0.2074074074074074)],[np.float64(-0.462037037037037)],[1],[0],[0],[1.5000566001981497],['target'],120,0,120,0,159.07437659986317,,10,159.0680807000026,159.07437659986317,159.07437659986317,0.014907100005075336,160.5682283998467,[np.float64(-0.2074074074074074)],[np.float64(-0.462037037037037)],[1],[0],[0],[1.5000566001981497],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
121,0,121,[np.float64(-0.20185185185185187)],[np.float64(-0.3972222222222222)],[1],[0],[0],[1.0342123000882566],['target'],121,0,121,0,160.5911504998803,,10,160.5841591998469,160.5911504998803,160.5911504998803,0.01574090006761253,161.61847059987485,[np.float64(-0.20185185185185187)],[np.float64(-0.3972222222222222)],[1],[0],[0],[1.0342123000882566],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
122,0,122,[np.float64(-0.16296296296296298)],[np.float64(0.23703703703703705)],[1],[0],[0],[1.3847838998772204],['target'],122,0,122,0,161.64258559979498,,10,161.6356845998671,161.64258559979498,161.64258559979498,0.01701790001243353,163.02057639998384,[np.float64(-0.16296296296296298)],[np.float64(0.23703703703703705)],[1],[0],[0],[1.3847838998772204],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
123,0,123,[np.float64(-0.4064814814814815)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.1508164999540895],['target'],123,0,123,0,163.03465099981986,,5,163.03001409978606,163.03465099981986,163.03465099981986,0.00919429981149733,164.18094519991428,[np.float64(-0.4064814814814815)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.1508164999540895],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
124,0,124,[np.float64(-0.19166666666666668)],[np.float64(0.2351851851851852)],[1],[0],[0],[1.2482630000449717],['target'],124,0,124,0,164.20529789989814,,10,164.19928790000267,164.20529789989814,164.20529789989814,0.018144400091841817,165.4476494998671,[np.float64(-0.19166666666666668)],[np.float64(0.2351851851851852)],[1],[0],[0],[1.2482630000449717],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
125,0,125,[np.float64(0.27685185185185185)],[np.float64(0.1814814814814815)],[1],[0],[0],[1.0770254000090063],['target'],125,0,125,0,165.46265090000816,,5,165.45689829997718,165.46265090000816,165.46265090000816,0.009049399988725781,166.53401919989847,[np.float64(0.27685185185185185)],[np.float64(0.1814814814814815)],[1],[0],[0],[1.0770254000090063],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
126,0,126,[np.float64(0.387037037037037)],[np.float64(0.4824074074074074)],[1],[0],[0],[1.9090819000266492],['target'],126,0,126,0,166.54737729998305,,5,166.54320629988797,166.54737729998305,166.54737729998305,0.009022900136187673,168.45238419994712,[np.float64(0.387037037037037)],[np.float64(0.4824074074074074)],[1],[0],[0],[1.9090819000266492],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
127,0,127,[np.float64(0.21666666666666667)],[np.float64(-0.2759259259259259)],[1],[0],[0],[1.2208820001687855],['target'],127,0,127,0,168.4700999998022,,5,168.4641590998508,168.4700999998022,168.4700999998022,0.011615399969741702,169.68514979979955,[np.float64(0.21666666666666667)],[np.float64(-0.2759259259259259)],[1],[0],[0],[1.2208820001687855],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
128,0,128,[np.float64(0.125)],[np.float64(0.462037037037037)],[1],[0],[0],[1.1502024000510573],['target'],128,0,128,0,169.7073512999341,,10,169.70032949978486,169.7073512999341,169.7073512999341,0.014998399885371327,170.85062709986232,[np.float64(0.125)],[np.float64(0.462037037037037)],[1],[0],[0],[1.1502024000510573],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
129,0,129,[np.float64(0.44537037037037036)],[np.float64(0.09351851851851851)],[1],[0],[0],[1.055431199958548],['target'],129,0,129,0,170.86597469984554,,5,170.86089149978943,170.86597469984554,170.86597469984554,0.01007919991388917,171.9164046999067,[np.float64(0.44537037037037036)],[np.float64(0.09351851851851851)],[1],[0],[0],[1.055431199958548],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
